zip_code_id,primary_city,county,state,state_short,country,latitude,longitude
72650,Marshall,Searcy County,Arkansas,AR,US,"35,9","-92,63"
72651,Midway,Baxter County,Arkansas,AR,US,"36,39","-92,48"
72653,Mountain Home,Baxter County,Arkansas,AR,US,"36,33","-92,37"
72654,Mountain Home,Baxter County,Arkansas,AR,US,"36,33","-92,37"
72655,Mount Judea,Newton County,Arkansas,AR,US,"35,83","-93,04"
72657,Timbo,Stone County,Arkansas,AR,US,"35,86","-92,3"
72658,Norfork,Baxter County,Arkansas,AR,US,"36,2","-92,28"
72659,Norfork,Baxter County,Arkansas,AR,US,"36,2","-92,28"
72660,Oak Grove,Carroll County,Arkansas,AR,US,"36,48","-93,38"
72661,Oakland,Marion County,Arkansas,AR,US,"36,44","-92,57"
72662,Omaha,Boone County,Arkansas,AR,US,"36,46","-93,19"
72663,Onia,Stone County,Arkansas,AR,US,"35,94","-92,33"
72666,Parthenon,Newton County,Arkansas,AR,US,"35,94","-93,27"
72668,Peel,Marion County,Arkansas,AR,US,"36,41","-92,76"
72669,Pindall,Searcy County,Arkansas,AR,US,"36,06","-92,88"
72670,Ponca,Newton County,Arkansas,AR,US,"35,98","-93,39"
72672,Pyatt,Marion County,Arkansas,AR,US,"36,25","-92,84"
72675,Saint Joe,Searcy County,Arkansas,AR,US,"35,98","-92,81"
72677,Summit,Marion County,Arkansas,AR,US,"36,25","-92,68"
72679,Tilly,Pope County,Arkansas,AR,US,"35,73","-92,83"
72680,Timbo,Stone County,Arkansas,AR,US,"35,86","-92,3"
72682,Valley Springs,Marion County,Arkansas,AR,US,"36,14","-92,74"
72683,Vendor,Newton County,Arkansas,AR,US,"35,94","-93,1"
72685,Western Grove,Newton County,Arkansas,AR,US,"36,1","-92,95"
72686,Witts Springs,Searcy County,Arkansas,AR,US,"35,78","-92,83"
72687,Yellville,Marion County,Arkansas,AR,US,"36,22","-92,68"
72701,Fayetteville,Washington County,Arkansas,AR,US,"36,07","-94,15"
72702,Fayetteville,Washington County,Arkansas,AR,US,"36,07","-94,15"
72703,Fayetteville,Washington County,Arkansas,AR,US,"36,12","-94,04"
72704,Fayetteville,Washington County,Arkansas,AR,US,"36,11","-94,3"
72711,Avoca,Benton County,Arkansas,AR,US,"36,39","-94,07"
72712,Bentonville,Benton County,Arkansas,AR,US,"36,36","-94,2"
72713,Bentonville,Benton County,Arkansas,AR,US,"36,33","-94,24"
72714,Bella Vista,Benton County,Arkansas,AR,US,"36,47","-94,22"
72715,Bella Vista,Benton County,Arkansas,AR,US,"36,46","-94,29"
72716,Bentonville,Benton County,Arkansas,AR,US,"36,36","-94,2"
72717,Canehill,Washington County,Arkansas,AR,US,"35,84","-94,42"
72718,Cave Springs,Benton County,Arkansas,AR,US,"36,26","-94,22"
72719,Centerton,Benton County,Arkansas,AR,US,"36,36","-94,28"
72721,Combs,Madison County,Arkansas,AR,US,"35,81","-93,83"
72722,Decatur,Benton County,Arkansas,AR,US,"36,33","-94,45"
72727,Elkins,Washington County,Arkansas,AR,US,"36,01","-94,02"
72728,Elm Springs,Benton County,Arkansas,AR,US,"36,2","-94,21"
72729,Evansville,Washington County,Arkansas,AR,US,"35,77","-94,46"
72730,Farmington,Washington County,Arkansas,AR,US,"36,04","-94,24"
72732,Garfield,Benton County,Arkansas,AR,US,"36,45","-93,96"
72733,Gateway,Benton County,Arkansas,AR,US,"36,48","-93,93"
72734,Gentry,Benton County,Arkansas,AR,US,"36,26","-94,48"
72735,Goshen,Washington County,Arkansas,AR,US,"36,1",-94
72736,Gravette,Benton County,Arkansas,AR,US,"36,42","-94,45"
72737,Greenland,Washington County,Arkansas,AR,US,36,"-94,18"
72738,Hindsville,Madison County,Arkansas,AR,US,"36,14","-93,86"
72739,Hiwasse,Benton County,Arkansas,AR,US,"36,43","-94,33"
72740,Huntsville,Madison County,Arkansas,AR,US,"36,08","-93,73"
72741,Johnson,Washington County,Arkansas,AR,US,"36,13","-94,17"
72742,Kingston,Madison County,Arkansas,AR,US,"36,05","-93,52"
72744,Lincoln,Washington County,Arkansas,AR,US,"35,94","-94,42"
72745,Lowell,Benton County,Arkansas,AR,US,"36,26","-94,13"
72747,Maysville,Benton County,Arkansas,AR,US,"36,37","-94,58"
72749,Morrow,Washington County,Arkansas,AR,US,"35,87","-94,44"
72751,Pea Ridge,Benton County,Arkansas,AR,US,"36,45","-94,11"
72752,Pettigrew,Madison County,Arkansas,AR,US,"35,82","-93,59"
72753,Prairie Grove,Washington County,Arkansas,AR,US,"35,97","-94,31"
72756,Rogers,Benton County,Arkansas,AR,US,"36,33","-94,13"
72757,Rogers,Benton County,Arkansas,AR,US,"36,33","-94,13"
